study,topic,Topic,pid_3,format,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,category,Estimator,value,Party,Format,lab_outside
1,Immigration,Immigrant population,Democrat,Change,(Intercept),NA,0.058997306834413114,3.9115214431215892,2.721570864996392e-4,NA,NA,50.999999999997264,(YC == 1), More,More-less,0.23076923076923078,Democrat,Change,NA
1,Immigration,Immigrant population,Democrat,Change,(Intercept),0.057692307692307696,0.08861878607096782,0.6510166777291043,0.5179583492566472,-0.12021732896885855,0.23560194435347392,50.999999999997264,YC,  Diff,More-less,0.057692307692307696,Democrat,Change,0.06 (0.09)
1,Immigration,Immigrant population,Democrat,Change + level,(Intercept),NA,0.04737793696791343,2.3452078799117153,0.023590663110760454,NA,NA,43.99999999999862,(YC == -1),Less,More-less,0.11111111111111113,Democrat,Change + level,NA
1,Immigration,Immigrant population,Democrat,Change + level,(Intercept),NA,0.0683294324254051,10.407098169407854,1.9235257580474685e-13,NA,NA,43.99999999999862,(YC == 0), Same,More-less,0.711111111111111,Democrat,Change + level,NA
1,Immigration,Immigrant population,Democrat,Change + level,(Intercept),NA,0.05763774795025093,3.0843984038242387,0.0035183501190821777,NA,NA,43.99999999999862,(YC == 1), More,More-less,0.17777777777777776,Democrat,Change + level,NA
1,Immigration,Immigrant population,Democrat,Change + level,(Intercept),0.06666666666666667,0.08040302522073696,0.8291561975888501,0.4114917104863509,-0.09537498325039089,0.2287083165837242,43.99999999999862,YC,  Diff,More-less,0.06666666666666667,Democrat,Change + level,0.07 (0.08)
1,Immigration,Immigrant population,Democrat,Counterfactual,(Intercept),NA,0.04481972612369449,2.0754980866510833,0.04410108243089659,NA,NA,41.999999999999616,(YC == -1),Less,More-less,0.09302325581395349,Democrat,Counterfactual,NA
1,Immigration,Immigrant population,Democrat,Counterfactual,(Intercept),NA,0.05696487773914367,14.696938456699074,3.703695757819287e-18,NA,NA,41.999999999999616,(YC == 0), Same,More-less,0.8372093023255816,Democrat,Counterfactual,NA
1,Immigration,Immigrant population,Democrat,Counterfactual,(Intercept),NA,0.039309500219931,1.7748239349298853,0.08317498687627321,NA,NA,41.999999999999616,(YC == 1), More,More-less,0.06976744186046513,Democrat,Counterfactual,NA
1,Immigration,Immigrant population,Democrat,Counterfactual,(Intercept),-0.023255813953488382,0.0621537771889359,-0.37416573867739433,0.7101634270155771,-0.14868721445953437,0.1021755865525576,41.999999999999616,YC,  Diff,More-less,-0.023255813953488382,Democrat,Counterfactual,-0.02 (0.06)
1,Immigration,Immigrant population,Republican,Change,(Intercept),NA,0.0830589590747107,5.531726674375733,2.937501436784041e-6,NA,NA,35.99999999999888,(YC == -1),Less,More-less,0.4594594594594595,Republican,Change,NA
1,Immigration,Immigrant population,Republican,Change,(Intercept),NA,0.08256893144064577,5.237229365663818,7.264292460384838e-6,NA,NA,35.99999999999888,(YC == 0), Same,More-less,0.43243243243243246,Republican,Change,NA
1,Immigration,Immigrant population,Republican,Change,(Intercept),NA,0.05175281663547774,2.088931871468374,0.04384514714627505,NA,NA,35.99999999999888,(YC == 1), More,More-less,0.10810810810810811,Republican,Change,NA
1,Immigration,Immigrant population,Republican,Change,(Intercept),-0.35135135135135137,0.11107052257601761,-3.163317712049869,0.003164187479525573,-0.5766128118735366,-0.12608989082916608,35.99999999999888,YC,  Diff,More-less,-0.35135135135135137,Republican,Change,-0.35 (0.11)
1,Immigration,Immigrant population,Republican,Change + level,(Intercept),NA,0.06742861107915607,4.417595671307132,6.018580315753931e-5,NA,NA,45.99999999999854,(YC == -1),Less,More-less,0.29787234042553196,Republican,Change + level,NA
