Study,Topic,Party,Format,Y1?,N,category,estimate_pct,se_pct
1,Endorsed Trump,Democrat,Change,No,53,Diff,-73.58490566037739,7.690938345133104
1,Endorsed Trump,Democrat,Change,No,53,Less,79.24528301886795,5.623975840347624
1,Endorsed Trump,Democrat,Change,No,53,More,5.6603773584905674,3.20455764380546
1,Endorsed Trump,Democrat,Change,No,53,Same,15.094339622641511,4.96447935456809
1,Endorsed Trump,Democrat,Change + level,Yes,46,Diff,-73.91304347826086,7.246376811594201
1,Endorsed Trump,Democrat,Change + level,Yes,46,Less,76.08695652173913,6.358669845936321
1,Endorsed Trump,Democrat,Change + level,Yes,46,More,2.1739130434782608,2.173913043478261
1,Endorsed Trump,Democrat,Change + level,Yes,46,Same,21.73913043478261,6.148754619013458
1,Endorsed Trump,Independent,Change,No,14,Diff,-28.571428571428577,12.529400275814703
1,Endorsed Trump,Independent,Change,No,14,Less,28.571428571428577,12.529400275814703
1,Endorsed Trump,Independent,Change,No,14,More,-0,0
1,Endorsed Trump,Independent,Change,No,14,Same,71.42857142857143,12.529400275814703
1,Endorsed Trump,Independent,Change + level,Yes,10,Diff,-20,24.944382578492945
1,Endorsed Trump,Independent,Change + level,Yes,10,Less,40,16.329931618554525
1,Endorsed Trump,Independent,Change + level,Yes,10,More,20,13.333333333333336
1,Endorsed Trump,Independent,Change + level,Yes,10,Same,40,16.329931618554525
1,Endorsed Trump,Republican,Change,No,37,Diff,54.054054054054056,9.950775691159695
1,Endorsed Trump,Republican,Change,No,37,Less,5.405405405405405,3.768738858261602
1,Endorsed Trump,Republican,Change,No,37,More,59.45945945945946,8.182838794858087
1,Endorsed Trump,Republican,Change,No,37,Same,35.13513513513514,7.956541321016081
1,Endorsed Trump,Republican,Change + level,Yes,47,Diff,8.510638297872344,10.89423853453683
1,Endorsed Trump,Republican,Change + level,Yes,47,Less,23.40425531914894,6.2426763436828825
1,Endorsed Trump,Republican,Change + level,Yes,47,More,31.914893617021278,6.872960451806369
1,Endorsed Trump,Republican,Change + level,Yes,47,Same,44.6808510638298,7.33026284390658
1,Immigration,Democrat,Change,No,52,Diff,5.769230769230769,8.861878607096783
1,Immigration,Democrat,Change,No,52,Less,17.30769230769231,5.297452250664297
1,Immigration,Democrat,Change,No,52,More,23.076923076923077,5.8997306834413115
1,Immigration,Democrat,Change,No,52,Same,59.615384615384606,6.870717031248967
1,Immigration,Democrat,Change + level,Yes,45,Diff,6.666666666666667,8.040302522073697
1,Immigration,Democrat,Change + level,Yes,45,Less,11.111111111111112,4.737793696791344
1,Immigration,Democrat,Change + level,Yes,45,More,17.777777777777775,5.763774795025093
1,Immigration,Democrat,Change + level,Yes,45,Same,71.1111111111111,6.83294324254051
1,Immigration,Independent,Change,No,12,Diff,8.333333333333336,14.864709750264083
1,Immigration,Independent,Change,No,12,Less,8.333333333333336,8.333333333333336
1,Immigration,Independent,Change,No,12,More,16.66666666666667,11.236664374387372
1,Immigration,Independent,Change,No,12,Same,75.00000000000003,13.055824196677342
1,Immigration,Independent,Change + level,Yes,10,Diff,-7.021666937153402e-15,21.081851067789195
1,Immigration,Independent,Change + level,Yes,10,Less,20,13.333333333333336
1,Immigration,Independent,Change + level,Yes,10,More,20,13.333333333333336
1,Immigration,Independent,Change + level,Yes,10,Same,59.999999999999986,16.32993161855452
1,Immigration,Republican,Change,No,37,Diff,-35.13513513513514,11.107052257601762
1,Immigration,Republican,Change,No,37,Less,45.94594594594595,8.30589590747107
1,Immigration,Republican,Change,No,37,More,10.81081081081081,5.175281663547774
1,Immigration,Republican,Change,No,37,Same,43.24324324324324,8.256893144064577
1,Immigration,Republican,Change + level,Yes,47,Diff,-14.893617021276597,9.60781529526707
1,Immigration,Republican,Change + level,Yes,47,Less,29.787234042553195,6.742861107915607
1,Immigration,Republican,Change + level,Yes,47,More,14.893617021276597,5.249310253140096
1,Immigration,Republican,Change + level,Yes,47,Same,55.319148936170215,7.33026284390658
