study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
1,Immigrant population,Republican,More-less,Change, More,0.10810810810810811,NA,0.05175281663547774,NA,NA,NA
1,Immigrant population,Republican,More-less,Change, Same,0.43243243243243246,NA,0.08256893144064577,NA,NA,NA
1,Immigrant population,Republican,More-less,Change,Less,0.4594594594594595,NA,0.0830589590747107,NA,NA,NA
1,Immigrant population,Republican,CATE,Diff. in means,NA,NA,0.3713611329661683,0.4088091628418061,-0.4439830330376399,1.1867052989699765,0.37 (0.41)
1,Immigrant population,Republican,CATE,Counterfactual,NA,NA,0.013888888888888895,0.15884591548176752,-0.3028408707953482,0.330618648573126,0.01 (0.16)
1,Supports charters,Democrat,More-less,Counterfactual,  Diff,-0.04854368932038835,-0.04854368932038835,0.05751805645475338,-0.16263048158014348,0.0655431029393668,-0.05 (0.06)
1,Supports charters,Democrat,More-less,Counterfactual, More,0.14563106796116504,NA,0.03492606476623794,NA,NA,NA
1,Supports charters,Democrat,More-less,Counterfactual, Same,0.6601941747572817,NA,0.04689765937278137,NA,NA,NA
1,Supports charters,Democrat,More-less,Counterfactual,Less,0.1941747572815534,NA,0.039166677628225836,NA,NA,NA
1,Supports charters,Democrat,More-less,Change + level,  Diff,-0.2173913043478261,-0.2173913043478261,0.10728553926563332,-0.4334754725606473,-0.0013071361350049382,-0.22 (0.11)
1,Supports charters,Democrat,More-less,Change + level, More,0.17391304347826086,NA,0.056503155622080956,NA,NA,NA
1,Supports charters,Democrat,More-less,Change + level, Same,0.43478260869565216,NA,0.07389883353033022,NA,NA,NA
1,Supports charters,Democrat,More-less,Change + level,Less,0.391304347826087,NA,0.07275304578557179,NA,NA,NA
1,Supports charters,Democrat,More-less,Change,  Diff,-0.22641509433962262,-0.22641509433962262,0.10654049780910725,-0.44020424387794915,-0.012625944801296085,-0.23 (0.11)
1,Supports charters,Democrat,More-less,Change, More,0.20754716981132082,NA,0.056239758403476246,NA,NA,NA
1,Supports charters,Democrat,More-less,Change, Same,0.358490566037736,NA,0.06650261419090688,NA,NA,NA
1,Supports charters,Democrat,More-less,Change,Less,0.4339622641509435,NA,0.06873010445603236,NA,NA,NA
1,Supports charters,Democrat,CATE,Diff. in means,NA,NA,0.009244992295839917,0.36324096004982276,-0.711327361698352,0.7298173462900319,0.01 (0.36)
1,Supports charters,Democrat,CATE,Counterfactual,NA,NA,-0.05825242718446603,0.08707139756011664,-0.2309581314014008,0.11445327703246877,-0.06 (0.09)
1,Supports charters,Republican,More-less,Counterfactual,  Diff,-0.027397260273972598,-0.027397260273972598,0.07548070892610291,-0.17786530350396806,0.12307078295602286,-0.03 (0.08)
1,Supports charters,Republican,More-less,Counterfactual, More,0.19178082191780824,NA,0.046398176787446524,NA,NA,NA
1,Supports charters,Republican,More-less,Counterfactual, Same,0.5890410958904111,NA,0.057983676252056145,NA,NA,NA
1,Supports charters,Republican,More-less,Counterfactual,Less,0.21917808219178087,NA,0.04875378197274572,NA,NA,NA
1,Supports charters,Republican,More-less,Change + level,  Diff,0.27659574468085113,0.27659574468085113,0.09949980201438319,0.07631303111274454,0.4768784582489577,0.28 (0.10)
1,Supports charters,Republican,More-less,Change + level, More,0.4042553191489362,NA,0.07235674844413015,NA,NA,NA
1,Supports charters,Republican,More-less,Change + level, Same,0.4680851063829788,NA,0.0735706462561835,NA,NA,NA
1,Supports charters,Republican,More-less,Change + level,Less,0.12765957446808512,NA,0.049202908961969306,NA,NA,NA
1,Supports charters,Republican,More-less,Change,  Diff,0.4054054054054055,0.4054054054054055,0.11917798698489147,0.16370124495242058,0.6471095658583904,0.41 (0.12)
1,Supports charters,Republican,More-less,Change, More,0.5405405405405406,NA,0.0830589590747107,NA,NA,NA
1,Supports charters,Republican,More-less,Change, Same,0.32432432432432434,NA,0.07802030664724674,NA,NA,NA
1,Supports charters,Republican,More-less,Change,Less,0.13513513513513514,NA,0.05697797585888973,NA,NA,NA
1,Supports charters,Republican,CATE,Diff. in means,NA,NA,-1.0092165898617507,0.37798763197149654,-1.7629025217589893,-0.255530657964512,-1.01 (0.38)
1,Supports charters,Republican,CATE,Counterfactual,NA,NA,-0.12328767123287672,0.13785871360228796,-0.3981039941459112,0.15152865168015778,-0.12 (0.14)
1,Tax Cuts and Jobs Act,Democrat,More-less,Counterfactual,  Diff,0.0392156862745098,0.0392156862745098,0.050085480468947056,-0.06014043412966813,0.13857180667868774,0.04 (0.05)
1,Tax Cuts and Jobs Act,Democrat,More-less,Counterfactual, More,0.1470588235294118,NA,0.03524068951567449,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,More-less,Counterfactual, Same,0.7450980392156861,NA,0.043364327079931805,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,More-less,Counterfactual,Less,0.10784313725490198,NA,0.03086428212206015,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,More-less,Change + level,  Diff,-0.2444444444444444,-0.2444444444444444,0.09076307015852632,-0.42736539299890286,-0.06152349588998593,-0.24 (0.09)
1,Tax Cuts and Jobs Act,Democrat,More-less,Change + level, More,0.08888888888888888,NA,0.04290254662948546,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,More-less,Change + level, Same,0.5777777777777777,NA,0.07446027270295803,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,More-less,Change + level,Less,0.33333333333333337,NA,0.07106690545187015,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,More-less,Change,  Diff,-0.4615384615384615,-0.4615384615384615,0.09694246735578528,-0.656158585656309,-0.26691833742061405,-0.46 (0.10)
1,Tax Cuts and Jobs Act,Democrat,More-less,Change, More,0.11538461538461539,NA,0.044736922925984586,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,More-less,Change, Same,0.30769230769230765,NA,0.06462831157052353,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,More-less,Change,Less,0.5769230769230769,NA,0.06918047444081744,NA,NA,NA
1,Tax Cuts and Jobs Act,Democrat,CATE,Diff. in means,NA,NA,0.3492313756405201,0.38802228755016765,-0.4205937914113682,1.1190565426924084,0.35 (0.39)
1,Tax Cuts and Jobs Act,Democrat,CATE,Counterfactual,NA,NA,0.10784313725490198,0.09843155817790668,-0.0874185963718399,0.30310487088164384,0.11 (0.10)
1,Tax Cuts and Jobs Act,Republican,More-less,Counterfactual,  Diff,-0,-0,0.07911877721292357,-0.15775836109576474,0.15775836109576474,-0.00 (0.08)
1,Tax Cuts and Jobs Act,Republican,More-less,Counterfactual, More,0.22222222222222224,NA,0.04933922619854286,NA,NA,NA
