Study,Topic,Outcome,Party,N,quantity,estimate,std.error,p.value
1,Supports charters,Y1,Democrat,103,Guess,2.610169491525424,0.22680788600751342,NA
1,Supports charters,Y1,Republican,73,Actual,4.571428571428571,0.2993272696155335,NA
1,Supports charters,Y1,Republican,73,Difference,-0.7834101382488474,0.4021739466459894,0.0553763428408212
1,Supports charters,Y1,Republican,73,Guess,5.35483870967742,0.268602064447243,NA
1,Tax cuts,Y0,Democrat,102,Actual,2.813559322033899,0.24232771482882276,NA
1,Tax cuts,Y0,Democrat,102,Difference,0.11667323610563654,0.3771167151890047,0.7576744556659509
1,Tax cuts,Y0,Democrat,102,Guess,2.930232558139535,0.28895379475062355,NA
1,Tax cuts,Y0,Republican,72,Actual,5.32258064516129,0.25563371298269616,NA
1,Tax cuts,Y0,Republican,72,Difference,-0.39575137686860745,0.3403299904672166,0.24884093256782921
1,Tax cuts,Y0,Republican,72,Guess,4.926829268292684,0.22466843836662143,NA
1,Tax cuts,Y1,Democrat,102,Actual,3.1627906976744193,0.3030487984822009,NA
1,Tax cuts,Y1,Democrat,102,Difference,0.3322822230981475,0.3778560384826954,0.38129901639513275
1,Tax cuts,Y1,Democrat,102,Guess,2.8305084745762716,0.22569140780351044,NA
1,Tax cuts,Y1,Republican,72,Actual,4.902439024390244,0.25376404934981484,NA
1,Tax cuts,Y1,Republican,72,Difference,-0.45239968528717533,0.37529233543539525,0.23208515776339775
1,Tax cuts,Y1,Republican,72,Guess,5.354838709677419,0.27649257547742234,NA
1,Undisputed accusation,Y0,Democrat,102,Actual,4.457627118644068,0.2297586387614371,NA
1,Undisputed accusation,Y0,Democrat,102,Difference,-0.5971620023649985,0.35879997376830547,0.0991767827226283
1,Undisputed accusation,Y0,Democrat,102,Guess,3.86046511627907,0.27558735292213277,NA
1,Undisputed accusation,Y0,Republican,72,Actual,3.2903225806451615,0.24623421138008336,NA
1,Undisputed accusation,Y0,Republican,72,Difference,-0.3878835562549171,0.3430895020627344,0.2620987847726367
1,Undisputed accusation,Y0,Republican,72,Guess,2.9024390243902443,0.23891236797554777,NA
1,Undisputed accusation,Y1,Democrat,102,Actual,3.093023255813953,0.3153755578862128,NA
1,Undisputed accusation,Y1,Democrat,102,Difference,0.4150571541190383,0.41000044147900166,0.31382183590860585
1,Undisputed accusation,Y1,Democrat,102,Guess,2.6779661016949166,0.2619897316707968,NA
1,Undisputed accusation,Y1,Republican,72,Actual,2.097560975609756,0.24645010885988541,NA
1,Undisputed accusation,Y1,Republican,72,Difference,0.35562549173878827,0.34457626166688604,0.3055938314561185
